participant_id	session_id	run_id	T1wOnTaskBrainSwipes_bold_mean	T1wOnTaskBrainSwipes_bold_nrev	T1wOnTaskBrainSwipes_bold_QC	T2wOnTaskBrainSwipes_bold_mean	T2wOnTaskBrainSwipes_bold_nrev	T2wOnTaskBrainSwipes_bold_QC	TaskOnT1wBrainSwipes_bold_mean	TaskOnT1wBrainSwipes_bold_nrev	TaskOnT1wBrainSwipes_bold_QC	TaskOnT2wBrainSwipes_bold_mean	TaskOnT2wBrainSwipes_bold_nrev	TaskOnT2wBrainSwipes_bold_QC	fMRI_ref-T1w_QC	fMRI_ref-T2w_QC
sub-284508	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-291742	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-306625	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	1.0	1.0	NA	NA	NA
sub-310682	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-423107	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-546478	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	1.0	1.0	NA	NA	NA
sub-547679	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-719200	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-739712	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-791024	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-791024	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-815547	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-957523	ses-V02	run-1	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
sub-957523	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	1.0	NA	NA	NA
sub-960530	ses-V02	run-2	NA	0.0	NA	NA	0.0	NA	NA	0.0	NA	0.0	0.0	NA	NA	NA
